UserID,Name,Email,Age,Location,Sept_sub_type,Recurring Logins,Aug_sub_type
113,Donna Garcia,donna.garcia@yipa.com,51,Lagos,Digital Universe+,5,Digital Universe+
114,Gregory Lowery,gregory.lowery@yipa.com,28,Abuja,Free,3,Free
115,Courtney Adams,courtney.adams@yipa.com,33,Nairobi,Free,5,Digital Universe+
116,James Smith,james.smith@yipa.com,47,Lagos,Free,5,Digital Universe+
117,Cheyenne Patel,cheyenne.patel@yipa.com,48,Lagos,Free,5,Free
118,Kim Brown,kim.brown@yipa.com,25,Nairobi,Digital Universe+,4,Free
119,Larry Perry,larry.perry@yipa.com,21,Abuja,Free,4,Free
120,Melissa Brennan,melissa.brennan@yipa.com,63,Lagos,Free,4,Free
121,Jeremy Chan,jeremy.chan@yipa.com,29,Lagos,Digital Universe+,4,Digital Universe+
122,Jennifer Benson,jennifer.benson@yipa.com,28,Nairobi,Free,5,Free
123,Alicia Lin,alicia.lin@yipa.com,23,Mombasa,Digital Universe+,4,Free
124,Alex Perez,alex.perez@yipa.com,49,Accra,Free,3,Free
125,Ryan Martinez,ryan.martinez@yipa.com,21,Accra,Free,5,Free
126,Shirley Watts,shirley.watts@yipa.com,26,Kumasi,Digital Universe+,2,Free
127,Mark Silva,mark.silva@yipa.com,28,Nairobi,Free,4,Free
128,Bianca Edwards,bianca.edwards@yipa.com,24,Kumasi,Free,5,Digital Universe+
129,Steven Harris,steven.harris@yipa.com,61,Nairobi,Digital Universe+,2,Digital Universe+
130,Ashley Garcia,ashley.garcia@yipa.com,18,Kumasi,Digital Universe+,4,Digital Universe+
131,David Khan,david.khan@yipa.com,28,Accra,Free,5,Free
132,Robert Beasley,robert.beasley@yipa.com,45,Lagos,Free,2,Digital Universe+
133,Emily Nichols,emily.nichols@yipa.com,47,Lagos,Free,5,Digital Universe+
134,Jim Clark,jim.clark@yipa.com,26,Kumasi,Free,5,Digital Universe+
135,Brenda Ashley,brenda.ashley@yipa.com,47,Lagos,Free,3,Free
136,Amanda Rhodes,amanda.rhodes@yipa.com,40,Accra,Free,5,Digital Universe+
137,Lisa Munoz,lisa.munoz@yipa.com,20,Abuja,Free,5,Free
138,Nicole Smith,nicole.smith@yipa.com,20,Accra,Free,4,Free
139,April Robertson,april.robertson@yipa.com,25,Accra,Digital Universe+,5,Free
140,Kelsey Freeman,kelsey.freeman@yipa.com,24,Lagos,Free,3,Digital Universe+
141,Stacey Walker,stacey.walker@yipa.com,22,Lagos,Digital Universe+,4,Digital Universe+
142,Stephen Olson,stephen.olson@yipa.com,48,Lagos,Free,5,Free
143,Lori Matthews,lori.matthews@yipa.com,51,Accra,Digital Universe+,5,Digital Universe+
144,Jose Sanchez,jose.sanchez@yipa.com,23,Accra,Free,4,Free
145,Amy Wright,amy.wright@yipa.com,26,Mombasa,Free,5,Free
146,Teresa Martinez,teresa.martinez@yipa.com,29,Mombasa,Free,3,Digital Universe+
147,Jennifer Smith,jennifer.smith@yipa.com,28,Nairobi,Free,4,Digital Universe+
148,Keith Burke,keith.burke@yipa.com,30,Mombasa,Digital Universe+,1,Free
149,Yolanda Thomas,yolanda.thomas@yipa.com,29,Mombasa,Free,2,Free
150,Christina Lopez,christina.lopez@yipa.com,24,Lagos,Free,5,Free
151,Jose Gilmore,jose.gilmore@yipa.com,43,Lagos,Digital Universe+,3,Free
152,Andrew Smith,andrew.smith@yipa.com,22,Kumasi,Free,4,Free
153,Sue Moore,sue.moore@yipa.com,18,Abuja,Digital Universe+,1,Digital Universe+
154,Thomas Hatfield,thomas.hatfield@yipa.com,59,Nairobi,Digital Universe+,4,Digital Universe+
155,Amanda Lee,amanda.lee@yipa.com,27,Lagos,Digital Universe+,5,Digital Universe+
156,James Butler,james.butler@yipa.com,26,Accra,Digital Universe+,2,Digital Universe+
157,Alexandra Prince,alexandra.prince@yipa.com,27,Mombasa,Free,3,Digital Universe+
158,Sandra Reid,sandra.reid@yipa.com,20,Lagos,Digital Universe+,3,Digital Universe+
159,Colleen Hunter,colleen.hunter@yipa.com,19,Abuja,Free,2,Free
160,Joshua Grant,joshua.grant@yipa.com,22,Accra,Free,5,Digital Universe+
161,Jacqueline Padilla,jacqueline.padilla@yipa.com,26,Abuja,Free,1,Free
162,Nichole Graham,nichole.graham@yipa.com,24,Accra,Free,3,Digital Universe+
163,Susan Stafford,susan.stafford@yipa.com,22,Kumasi,Free,5,Free
164,Sarah Page,sarah.page@yipa.com,29,Lagos,Free,5,Free
165,Jeffrey Dorsey,jeffrey.dorsey@yipa.com,30,Abuja,Free,5,Digital Universe+
166,Susan Hernandez,susan.hernandez@yipa.com,25,Accra,Free,5,Free
167,Angela Douglas,angela.douglas@yipa.com,29,Nairobi,Free,5,Free
168,David Casey,david.casey@yipa.com,30,Abuja,Free,4,Free
169,Samuel Fleming,samuel.fleming@yipa.com,25,Mombasa,Free,4,Free
170,Wanda Davis,wanda.davis@yipa.com,24,Accra,Digital Universe+,5,Free
171,Catherine Avery,catherine.avery@yipa.com,19,Lagos,Digital Universe+,5,Digital Universe+
172,Felicia Chavez,felicia.chavez@yipa.com,22,Abuja,Free,4,Digital Universe+
173,Alyssa Watson,alyssa.watson@yipa.com,39,Accra,Free,4,Free
174,Dakota Haynes,dakota.haynes@yipa.com,38,Accra,Free,4,Free
175,Blake Johnson,blake.johnson@yipa.com,35,Abuja,Digital Universe+,4,Free
176,Kayla Cannon,kayla.cannon@yipa.com,47,Mombasa,Digital Universe+,5,Digital Universe+
177,Leah Moon,leah.moon@yipa.com,30,Abuja,Digital Universe+,4,Free
178,Christopher Anderson,christopher.anderson@yipa.com,20,Kumasi,Free,4,Free
179,Jill Gibbs,jill.gibbs@yipa.com,27,Abuja,Digital Universe+,5,Digital Universe+
180,Thomas Stewart,thomas.stewart@yipa.com,21,Lagos,Free,5,Free
181,Kathryn Nichols,kathryn.nichols@yipa.com,20,Mombasa,Free,4,Free
182,Tyler Page,tyler.page@yipa.com,29,Lagos,Free,4,Free
183,Steven West,steven.west@yipa.com,19,Mombasa,Free,4,Free
184,Joseph Gray,joseph.gray@yipa.com,54,Lagos,Free,4,Digital Universe+
185,Tasha Key,tasha.key@yipa.com,24,Abuja,Digital Universe+,5,Digital Universe+
186,Susan Chavez,susan.chavez@yipa.com,26,Abuja,Free,4,Digital Universe+
187,Tammy Hansen,tammy.hansen@yipa.com,27,Nairobi,Free,3,Free
188,Tara Gallegos,tara.gallegos@yipa.com,60,Mombasa,Free,4,Free
189,Sonya Thompson,sonya.thompson@yipa.com,22,Lagos,Digital Universe+,3,Free
190,Neil Chandler,neil.chandler@yipa.com,20,Abuja,Free,5,Digital Universe+
191,Angela Bryant,angela.bryant@yipa.com,28,Abuja,Free,4,Free
192,Jeremy Gregory,jeremy.gregory@yipa.com,26,Accra,Free,3,Free
193,Kelly Bartlett,kelly.bartlett@yipa.com,25,Kumasi,Free,5,Free
194,Adam Brewer,adam.brewer@yipa.com,65,Nairobi,Digital Universe+,4,Free
195,Gary Taylor,gary.taylor@yipa.com,53,Lagos,Digital Universe+,2,Free
196,Sheila Walker,sheila.walker@yipa.com,26,Abuja,Digital Universe+,4,Digital Universe+
197,Shane Bell,shane.bell@yipa.com,49,Mombasa,Free,4,Digital Universe+
198,Charles Brandt,charles.brandt@yipa.com,54,Accra,Free,3,Free
199,Nicole Mora,nicole.mora@yipa.com,20,Accra,Free,3,Digital Universe+
200,Leslie Frazier,leslie.frazier@yipa.com,39,Accra,Free,5,Free
201,Jennifer Morton,jennifer.morton@yipa.com,24,Nairobi,Digital Universe+,4,Digital Universe+
202,Jeremy Valenzuela,jeremy.valenzuela@yipa.com,30,Lagos,Digital Universe+,4,Free
203,Sarah Bentley,sarah.bentley@yipa.com,38,Nairobi,Digital Universe+,4,Digital Universe+
204,Sarah Love,sarah.love@yipa.com,23,Accra,Free,4,Free
205,Juan Alvarado,juan.alvarado@yipa.com,18,Lagos,Digital Universe+,3,Free
206,Adrian West,adrian.west@yipa.com,26,Nairobi,Free,2,Free
207,Todd Banks,todd.banks@yipa.com,18,Accra,Free,4,Digital Universe+
208,James Wright,james.wright@yipa.com,48,Accra,Digital Universe+,4,Free
209,Adam Terry,adam.terry@yipa.com,23,Mombasa,Digital Universe+,5,Digital Universe+
210,Eric Allison,eric.allison@yipa.com,22,Lagos,Free,5,Digital Universe+
211,Shari Best,shari.best@yipa.com,28,Lagos,Digital Universe+,1,Free
212,Adam Gardner,adam.gardner@yipa.com,22,Nairobi,Free,4,Free
213,Jon Bowman,jon.bowman@yipa.com,62,Kumasi,Free,4,Digital Universe+
214,Melissa Brewer,melissa.brewer@yipa.com,28,Nairobi,Free,5,Free
215,Lisa Price,lisa.price@yipa.com,26,Lagos,Free,5,Free
216,Timothy Carney,timothy.carney@yipa.com,18,Mombasa,Free,3,Digital Universe+
217,Elizabeth Marshall,elizabeth.marshall@yipa.com,24,Lagos,Free,4,Digital Universe+
218,Abigail Roach,abigail.roach@yipa.com,36,Mombasa,Free,5,Digital Universe+
219,Anna Brewer,anna.brewer@yipa.com,35,Abuja,Free,4,Free
220,Jim Nguyen,jim.nguyen@yipa.com,20,Mombasa,Free,1,Free
221,Crystal Weaver,crystal.weaver@yipa.com,19,Accra,Free,4,Free
222,Marie Richardson,marie.richardson@yipa.com,32,Lagos,Free,4,Free
223,Jill Clayton,jill.clayton@yipa.com,52,Abuja,Digital Universe+,4,Free
224,Amber Martin,amber.martin@yipa.com,59,Accra,Digital Universe+,4,Free
225,Scott Roberts,scott.roberts@yipa.com,24,Abuja,Free,4,Free
226,Laura Thompson,laura.thompson@yipa.com,38,Kumasi,Free,5,Digital Universe+
227,Michael Stephens,michael.stephens@yipa.com,25,Abuja,Free,5,Free
228,Mark Hogan,mark.hogan@yipa.com,28,Lagos,Free,3,Free
229,Nicholas Burgess,nicholas.burgess@yipa.com,64,Mombasa,Free,4,Digital Universe+
230,Carol Robinson,carol.robinson@yipa.com,44,Accra,Free,4,Free
231,James Lloyd,james.lloyd@yipa.com,49,Lagos,Digital Universe+,4,Digital Universe+
232,Elizabeth Vargas,elizabeth.vargas@yipa.com,29,Kumasi,Free,3,Free
233,Alexander Hobbs,alexander.hobbs@yipa.com,62,Accra,Free,3,Free
234,Lisa Johnson,lisa.johnson@yipa.com,30,Accra,Free,3,Free
235,Dale Lamb,dale.lamb@yipa.com,18,Abuja,Digital Universe+,4,Free
236,Anthony Howell,anthony.howell@yipa.com,50,Accra,Digital Universe+,2,Free
237,Kenneth Davis,kenneth.davis@yipa.com,30,Abuja,Free,4,Free
238,Samantha Lee,samantha.lee@yipa.com,23,Mombasa,Digital Universe+,4,Free
239,Amy Campbell,amy.campbell@yipa.com,62,Nairobi,Free,4,Free
240,Joseph Cohen,joseph.cohen@yipa.com,62,Nairobi,Free,3,Free
241,Heather Williams,heather.williams@yipa.com,34,Kumasi,Free,4,Digital Universe+
242,Melissa Hunter,melissa.hunter@yipa.com,30,Accra,Digital Universe+,5,Free
243,Hector Smith,hector.smith@yipa.com,24,Accra,Free,5,Digital Universe+
244,Jon Thomas,jon.thomas@yipa.com,27,Lagos,Digital Universe+,3,Free
245,Vernon Rasmussen,vernon.rasmussen@yipa.com,26,Accra,Free,5,Free
246,Rita Chandler,rita.chandler@yipa.com,28,Accra,Free,4,Free
247,Tara Wolf,tara.wolf@yipa.com,23,Abuja,Free,3,Free
248,Andrew Patel,andrew.patel@yipa.com,63,Abuja,Digital Universe+,3,Free
249,Luis Huff,luis.huff@yipa.com,30,Abuja,Free,3,Digital Universe+
250,Caitlin Foster,caitlin.foster@yipa.com,19,Abuja,Free,2,Digital Universe+
251,Heather Brown,heather.brown@yipa.com,19,Lagos,Free,3,Free
252,Brittany Hanna,brittany.hanna@yipa.com,26,Nairobi,Free,5,Digital Universe+
253,Ryan Russell,ryan.russell@yipa.com,31,Mombasa,Free,5,Free
254,Katherine Arnold,katherine.arnold@yipa.com,42,Abuja,Free,5,Free
255,Maria Bennett,maria.bennett@yipa.com,25,Nairobi,Free,3,Digital Universe+
256,Ryan Sawyer,ryan.sawyer@yipa.com,21,Lagos,Free,3,Free
257,Lisa Horn,lisa.horn@yipa.com,39,Accra,Digital Universe+,5,Free
258,Jonathan Mclaughlin,jonathan.mclaughlin@yipa.com,25,Nairobi,Free,4,Free
259,William Strong,william.strong@yipa.com,27,Kumasi,Digital Universe+,1,Free
260,Justin Morgan,justin.morgan@yipa.com,24,Nairobi,Free,3,Digital Universe+
261,Raymond Carpenter,raymond.carpenter@yipa.com,18,Accra,Digital Universe+,3,Digital Universe+
262,Tonya Brooks,tonya.brooks@yipa.com,30,Abuja,Digital Universe+,2,Free
263,Kevin Russell,kevin.russell@yipa.com,22,Accra,Free,4,Digital Universe+
264,Brittany Sanchez,brittany.sanchez@yipa.com,18,Nairobi,Digital Universe+,5,Digital Universe+
265,James Ortega,james.ortega@yipa.com,30,Lagos,Free,4,Free
266,Kevin Clark,kevin.clark@yipa.com,27,Lagos,Free,5,Free
267,Tim Williams,tim.williams@yipa.com,27,Abuja,Free,1,Digital Universe+
268,Traci Hayes,traci.hayes@yipa.com,40,Lagos,Free,1,Free
269,Melissa Nguyen,melissa.nguyen@yipa.com,24,Lagos,Free,4,Free
270,Melanie Patel,melanie.patel@yipa.com,30,Nairobi,Free,3,Free
271,John Diaz,john.diaz@yipa.com,24,Accra,Free,2,Free
272,Erica Green,erica.green@yipa.com,63,Accra,Free,4,Free
273,Jonathan Hodges,jonathan.hodges@yipa.com,22,Accra,Free,5,Free
274,Joseph Green,joseph.green@yipa.com,34,Lagos,Free,4,Digital Universe+
275,Matthew Rice,matthew.rice@yipa.com,18,Accra,Free,4,Digital Universe+
276,Christina Chapman,christina.chapman@yipa.com,37,Mombasa,Free,5,Free
277,Rose Reyes,rose.reyes@yipa.com,65,Lagos,Free,4,Free
278,Gabriela Raymond,gabriela.raymond@yipa.com,34,Abuja,Free,4,Free
279,Anthony Murray,anthony.murray@yipa.com,22,Nairobi,Free,4,Free
280,Tasha Hurst,tasha.hurst@yipa.com,51,Abuja,Free,3,Digital Universe+
281,Natalie Odonnell,natalie.odonnell@yipa.com,29,Accra,Free,4,Free
282,Kenneth Castro,kenneth.castro@yipa.com,64,Mombasa,Digital Universe+,5,Free
283,Andrea Moore,andrea.moore@yipa.com,60,Accra,Free,4,Free
284,Ronnie Osborne,ronnie.osborne@yipa.com,28,Nairobi,Digital Universe+,5,Digital Universe+
285,Emily Cunningham,emily.cunningham@yipa.com,51,Abuja,Free,4,Free
286,Bonnie Dunlap,bonnie.dunlap@yipa.com,20,Lagos,Free,1,Free
287,Donna Smith,donna.smith@yipa.com,49,Kumasi,Free,3,Digital Universe+
288,Michelle Shepard,michelle.shepard@yipa.com,25,Lagos,Free,1,Free
289,Brianna White,brianna.white@yipa.com,33,Kumasi,Digital Universe+,1,Free
290,Linda Jennings,linda.jennings@yipa.com,28,Abuja,Digital Universe+,4,Digital Universe+
291,Stephanie Jackson,stephanie.jackson@yipa.com,26,Nairobi,Free,5,Free
292,Marie Melendez,marie.melendez@yipa.com,52,Abuja,Digital Universe+,4,Free
293,James Morris,james.morris@yipa.com,22,Lagos,Free,4,Digital Universe+
294,William Moran,william.moran@yipa.com,39,Lagos,Free,4,Free
295,Benjamin Martin,benjamin.martin@yipa.com,19,Lagos,Free,3,Free
296,Amy Gross,amy.gross@yipa.com,18,Abuja,Free,4,Digital Universe+
297,Phyllis Gomez,phyllis.gomez@yipa.com,25,Kumasi,Digital Universe+,4,Digital Universe+
298,Courtney Jimenez,courtney.jimenez@yipa.com,21,Lagos,Free,5,Free
299,Amber Michael,amber.michael@yipa.com,28,Abuja,Free,4,Digital Universe+
300,Carlos Martinez,carlos.martinez@yipa.com,34,Mombasa,Digital Universe+,5,Digital Universe+
301,Jasmine Smith,jasmine.smith@yipa.com,24,Nairobi,Digital Universe+,4,Free
302,Sean Kane,sean.kane@yipa.com,25,Kumasi,Free,5,Digital Universe+
303,Denise Allen,denise.allen@yipa.com,47,Abuja,Free,5,Free
304,Donald Tran,donald.tran@yipa.com,52,Mombasa,Free,5,Free
305,Brendan Mendoza,brendan.mendoza@yipa.com,34,Mombasa,Free,4,Free
306,Ashlee Trujillo,ashlee.trujillo@yipa.com,28,Kumasi,Digital Universe+,2,Free
307,Angela Benitez,angela.benitez@yipa.com,21,Lagos,Digital Universe+,4,Free
308,Mary Reynolds,mary.reynolds@yipa.com,18,Mombasa,Free,5,Free
309,Annette Ferguson,annette.ferguson@yipa.com,57,Kumasi,Free,4,Digital Universe+
310,Nicole Brewer,nicole.brewer@yipa.com,27,Mombasa,Free,5,Free
311,Marcus Martinez,marcus.martinez@yipa.com,60,Nairobi,Free,2,Digital Universe+
312,Richard Todd,richard.todd@yipa.com,53,Accra,Free,5,Free
313,Kenneth Evans,kenneth.evans@yipa.com,24,Lagos,Digital Universe+,5,Digital Universe+
314,Craig Martinez,craig.martinez@yipa.com,22,Kumasi,Free,5,Free
315,Reginald Mcbride,reginald.mcbride@yipa.com,50,Accra,Digital Universe+,3,Digital Universe+
316,Heidi Buck,heidi.buck@yipa.com,33,Lagos,Digital Universe+,4,Digital Universe+
317,Christopher Miller,christopher.miller@yipa.com,20,Abuja,Digital Universe+,3,Digital Universe+
318,Phillip Sutton,phillip.sutton@yipa.com,63,Accra,Free,4,Free
319,Craig Greene,craig.greene@yipa.com,56,Nairobi,Digital Universe+,3,Free
320,Ana Brooks,ana.brooks@yipa.com,31,Lagos,Free,5,Digital Universe+
321,Barbara Thompson,barbara.thompson@yipa.com,28,Mombasa,Free,3,Free
322,Joseph Thomas,joseph.thomas@yipa.com,24,Mombasa,Digital Universe+,5,Digital Universe+
323,Peter Jones,peter.jones@yipa.com,63,Lagos,Digital Universe+,2,Free
324,James Lester,james.lester@yipa.com,30,Lagos,Free,4,Free
325,Amber Schmidt,amber.schmidt@yipa.com,35,Lagos,Free,5,Free
326,Zachary Barber,zachary.barber@yipa.com,44,Nairobi,Free,5,Digital Universe+
327,Monica Mason,monica.mason@yipa.com,29,Lagos,Free,4,Digital Universe+
328,Morgan Gardner,morgan.gardner@yipa.com,24,Kumasi,Free,1,Free
329,Richard Holmes,richard.holmes@yipa.com,22,Abuja,Free,4,Digital Universe+
